ID,Location,Notes,Reviewer
JOE17,Brazil,,JP
,-,Off topic,JP
,-,Off topic,JP
,Review,Review,JP
,Review,Review,JP
,-,Off topic,JP
14-Jun,Brazil,,JP
,-,Off topic,JP
,-,Could not have access (JP either),JP
,-,Off topic,JP
,-,Off topic,JP
,-,No control,JP
KIR10,Brazil,,JP
,-,Not in neotropics,JP
,-,Off topic,JP
,-,Not in neotropics,JP
,Review,Review,JP
,-,Off topic,JP
,-,Book,AC
,-,Off topic,AC
,-,Not in neotropics,AC
,-,Off topic,AC
,Review,Review,AC
,-,Off topic,AC
,-,No control,AC
LAN16,Brazil,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,No control,AC
,-,Off topic,AC
,-,Not in neotropics,AC
LEA21,Colombia,,AC
,-,Off topic,AC
,-,Off topic,AC
LEL18,Brazil,,AC
LEM21,Brazil,,AC
LEM16,Brazil,,AC
,-,Not in neotropics,AC
,-,Off topic,AC
,Review,Review,AC
LEZ20,Paraguay,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Not in neotropics,AC
LIM18,Brazil,,AC
LIM20,Brazil,,AC
,-,Off topic,AC
LIM21,Brazil,,AC
LIM19_1,Brazil,,AC
LIM19_2,Brazil,,AC
,-,Off topic,AC
LIR20_1,Brazil,,AC
LIR20_2,Brazil,,AC
,-,Off topic,AC
LIT20,Panama,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,Cuba,Could not have access. Probably worth,AC
,-,,AC
,-,Off topic,AC
,-,Off topic,AC
LOK08,Cuba,,AC
LOK13,Cuba,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
LOP20_1,Brazil,,AC
LOP20_2,Brazil,,AC
,-,Off topic,AC
LOP20_3,Brazil,,AC
,-,Off topic,AC
LOP20_4,Colombia,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Not in neotropics,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
LOP19_1,Mexico,,AC
LOP19_2,Cuba,,AC
,Review,Review,AC
,Review,Review,AC
LOS14,Brazil,,AC
,-,Off topic,AC
LOV09,Panama,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Not in neotropics,AC
,Review,Review,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
MAC20,Brazil,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
MAH17,Colombia,,AC
MAI08,Brazil,,AC
MAI06,Brazil,,AC
MAI07,Brazil,,AC
,-,Off topic,AC
,-,Book for references,AC
,-,Off topic,AC
,-,Book chapter-for references,AC
,-,Off topic,AC
,-,Off topic,AC
MAN08,Brazil,,AC
,-,Off topic,AC
,-,Off topic,AC
MAN15,Chile,,AC
15-Mar,Argentina ,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
17-Mar,Brazil,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
14-Mar,Colombia,,AC
20-Mar,Colombia,,AC
13-Mar,Colombia,,AC
,-,Off topic,AC
,Review,Review,AC
,-,Congress abstract,AC
,-,No control,AC
,Review,Review,AC
17-Mar,Brazil,,AC
,-,Off topic,AC
21-Mar,Brazil,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
MAS14,Argentina,,AC
MAS12,Argentina,,AC
,-,Off topic,AC
,-,Not in neotropics,AC
,-,Off topic,AC
,Review,Review,AC
,-,No control,AC
,-,No control,AC
,-,No control,AC
,-,Not in neotropics,AC
,Review,Review,AC
,-,Off topic,AC
MCD14,Colombia,,AC
,-,No control,AC
,Review,Review,AC
,-,Not in neotropics,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
MED13,Mexico,,AC
,-,Off topic,AC
MEJ17,Colombia,,AC
,Review,Review,AC
MEN13,Mexico,,AC
,-,Off topic,AC
,-,Off topic,AC
MEN14,Cuba,,AC
MEN99,Brazil,,AC
MEN02,Brazil,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
MIL10,Honduras,,AC
,-,No control,AC
,-,Off topic,AC
MIR08, Cuba,,AC
,Review,Review,AC
MIR07,Cuba,,AC
,-,Not in neotropics,AC
MOH16,Mexico,,AC
MOL16,Colombia,,AC
MOL15,Colombia,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
MON19_1,Mexico,,AC
MON19_2,Mexico,,AC
,-,Off topic,AC
,Review,Review,AC
,-,Book- for references,AC
,-,No control,AC
,-,Book chapter- for references,AC
,-,No control,AC
MON15,Colombia,,AC
,-,Off topic,AC
MON21,Brazil,,AC
MON16,Colombia,,AC
,-,Off topic,AC
,-,No control,AC
MOR21,Mexico,,AC
,-,No control,AC
,Review,Review,AC
MOR09,Brazil,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,Review,Review,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,Review,Review,AC
,Review,Review,AC
,Review,Review,AC
,-,Off topic,AC
,-,For references,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,No control,AC
,-,Review,AC
,-,Off topic,AC
,-,Book- for references,AC
,-,Not in neotropics,AC
,-,Off topic,AC
,-,No control,AC
,-,Off topic,AC
,Review,Review,AC
NAS21,Brazil,,AC
,-,Not in neotropics,AC
,-,Off topic,AC
,-,Off topic,AC
NIC18,Brazil,,AC
,-,No control,AC
NIC15,Brazil,,AC
,-,No control,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
NOR11,Argentina,,AC
,-,Off topic,AC
NUÑ21,Colombia,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
OBI08,Venezuela,,AC
OCH17,Colombia,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Not in neotropics,AC
,-,Off topic,AC
OLA21,Colombia,,AC
,-,Off topic,AC
,-,No control,AC
,-,No control,AC
,-,Off topic,AC
OLI18,Peru,,AC
,-,Off topic,AC
,-,No control,AC
,-,No control,AC
,-,Off topic,AC
,-,No control,AC
OLI17,Brazil,,AC
OLI21,Brazil,,AC
,Review,Review,AC
ORM18,Argentina,,AC
,-,Off topic,AC
ORT20,Mexico,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
PAC21_1,Brazil,,AC
PAC08,Brazil,,AC
PAC07,Brazil,,AC
PAC11,Brazil ,,AC
,-,No control,AC
